cid,text,time,author,channel,votes,photo,heart
Ugx08oD7TQ5IHYo2u9B4AaABAg,Wasn't this the one that got him fired from SNL?,7 months ago,Chad Cuckproducer,UCybemqdDYGMqjuJxW1qiTUA,0,https://yt3.ggpht.com/ytc/AKedOLSDTmpZJ8ByXcpS6Gpwyi0-cOFakye27555nw=s176-c-k-c0x00ffffff-no-rj,False
UgxaN_1wjH2m-wvISid4AaABAg,"Not even close to his best joke,  but it was good.   His joke about the Doghouse and being gay was WAY better.",7 months ago,Milkman3572000,UCv4lwXE1fp5jGJ-1SZ_xXeg,0,https://yt3.ggpht.com/ytc/AKedOLSRY-x-I7uPegiIyu2eRdBndYA9j2XaM0bCcQ=s176-c-k-c0x00ffffff-no-rj,False
Ugw5AwmAWCw8E-sJzU54AaABAg,"""I named my dog 'Syndrome', so that whenever he attacks somebody I can yell Down Syndrone!""",7 months ago,John Tucker,UCW3JQU2N3EPwk0FVuqC-ryg,1,https://yt3.ggpht.com/ytc/AKedOLS_UJD4zgxYpVeeXXkL1FEYxjj1sW0_jVWLLQ=s176-c-k-c0x00ffffff-no-rj,False
Ugx7Hox7geqMEk4drhF4AaABAg,Norm was as Canadian as it gets R.I.P to the great !,7 months ago,Brandon McGillis,UCBmlOEcCmy5F2SeascpzMgQ,0,https://yt3.ggpht.com/ytc/AKedOLQ4FoP6uu8MjIGFwSGlXZ-BhbYGfTFoE1RM-RQLKg=s176-c-k-c0x00ffffff-no-rj,False
Ugx6vDt1zBxWmpzOqeB4AaABAg,thats the worst luck,7 months ago,Matt C,UCfSDWka2df39qgnu6Mw6TwA,0,https://yt3.ggpht.com/ytc/AKedOLRIovyIr3Svsnb-vzRxl1VAD8R741VKUC_FPA=s176-c-k-c0x00ffffff-no-rj,False
Ugx2pBX1H51H1XSXflV4AaABAg,"Ironically, the person most likely to die for you is in fact the person most likely to kill you if they feel betrayed by you. I think that's exactly what happened in the O.J. case when he found out she was cheating on him.",7 months ago,JoeGolf25,UCT3doUq0ZbMglD8-iFy_3-g,0,https://yt3.ggpht.com/ytc/AKedOLS8CWf3Z4Q7MlUICz8ViNWqytCgcMm-t3ZkkCe1OEAUGCPmxqVJud58ULUlRFjs=s176-c-k-c0x00ffffff-no-rj,False
UgwoOk9ocdQKiLW3xLp4AaABAg,"yeah, it's unfortunate that that POS OJ Simpson is still alive.",7 months ago,Professor 420,UCx9LgWnP3S-vlCCeyCIPfRw,1,https://yt3.ggpht.com/ytc/AKedOLRLZC5ZLTJd901-ZaeX2ko74iCvMxxDCaRQYapX=s176-c-k-c0x00ffffff-no-rj,False
UgwPRoYBRM5Dcdd6ssl4AaABAg,"Sorry, not funny, not what we call ""black humor.""",7 months ago,bluecadillac,UCRDtepRhq_wb6PGzWzsTGqw,0,https://yt3.ggpht.com/ytc/AKedOLS778g_qXtJAvyqPYLAaYL4yVqND3nCyHL2bymD=s176-c-k-c0x00ffffff-no-rj,False
UgwVCZBpQDlyDqLkAAZ4AaABAg,How is his delivery so perfect,7 months ago,KEVOAM,UCUmXMSeJmHG0V6ZeqRasf1w,0,https://yt3.ggpht.com/rVkbouxjkwhaL8TlzlLxaq6g8ZPwOpMwIiwOY3v4v7NuFv4Qt10NpwpXoyJ-ldJ-mKqU0M01Rg=s176-c-k-c0x00ffffff-no-rj,False
UgxMLj2xSKyoFcab7kl4AaABAg,Look up Norm’s “moth joke”.,7 months ago,walpolescrew,UCXxh7w6CKE1J0lZxi0TTt-g,0,https://yt3.ggpht.com/ytc/AKedOLT0lDlyxLfcgvF0OqyJ_evhSktXPC8XGAz7EQ=s176-c-k-c0x00ffffff-no-rj,False
